Time,I1V,I1A,I1P,I2V,I2A,I2P,I3V,I3A,I3P,I4V,I4A,I4P,G1V,G1A,G1P,G2V,G2A,G2P,G3V,G3A,G3P,FRQ,EFF,INVT,BOOT,SR,KWHT
06:30:01,232.118118,0.033835,7.853764,251.819397,0.024974,6.288837,,,,,,,231.719101,0.044311,0,,,,,,,50.009003,0,18.509583,17.938396,,20277.621
06:35:00,237.220047,0.052364,12.421791,215.929306,0.045919,9.915301,,,,,,,230.991302,0.044311,0,,,,,,,49.980007,0,19.365482,18.718117,,20277.621
06:40:00,240.634415,0.06767,16.283829,246.344635,0.056392,13.891868,,,,,,,230.901749,0.044311,6.445312,,,,,,,49.986004,21.359283,19.841007,19.270432,,20277.621
06:45:00,247.365021,0.079754,19.728451,247.129547,0.076532,18.913319,,,,,,,231.948486,0.044311,16.918945,,,,,,,49.984005,43.784084,20.317047,19.745867,,20277.622
06:50:01,247.757477,0.111173,27.543894,245.657837,0.095866,23.550333,,,,,,,231.948486,0.044311,26.586914,,,,,,,49.996002,52.035065,20.765064,20.119404,,20277.623
06:55:00,258.020203,0.12084,31.179163,233.903793,0.118423,27.699636,,,,,,,232.152145,0.044311,33.032227,,,,,,,49.989002,56.102074,21.172377,20.50666,,20277.626
07:00:00,260.649658,0.130507,34.016659,238.515152,0.124062,29.590763,,,,,,,231.374649,0.044311,37.060547,,,,,,,50.019009,58.2645,21.552752,20.791994,,20277.629
07:05:00,260.414185,0.14823,38.601299,247.7771,0.140174,34.732006,,,,,,,231.016876,0.044311,47.53418,,,,,,,50.04504,64.819359,21.900522,21.077326,,20277.632
07:10:00,263.553833,0.157898,41.614521,250.465424,0.14823,37.126591,,,,,,,231.272476,0.044311,54.670628,,,,,,,49.979008,69.430855,22.218504,21.363138,,20277.636
07:15:00,263.396851,0.163537,43.075077,254.664703,0.155481,39.595474,,,,,,,230.107208,0.044311,57.90469,,,,,,,50.004002,70.042709,22.503839,21.656521,,20277.641
07:20:01,264.436859,0.167565,44.31031,254.703949,0.157092,40.011955,,,,,,,231.70636,0.044311,59.521721,,,,,,,50.002998,70.588379,22.789076,21.93317,,20277.646
07:25:01,267.046692,0.183677,49.050285,262.474579,0.169176,44.4044,,,,,,,230.824982,0.044311,68.415398,,,,,,,50.010002,73.207031,23.053211,22.14686,,20277.651
07:30:01,266.045929,0.203817,54.224628,259.786255,0.186094,48.344559,,,,,,,234.141449,0.044311,78.926094,,,,,,,49.975014,76.949135,23.295544,22.408693,,20277.657
